"Transaction No. In Originating","Transaction No.","Security ID - Current","Security Name - Current","Model Portfolio Code","Created Date","Trade Date","Payment Date","Created by User","Business Transaction Code","Elementary Transaction Code","Elementary Transaction Code Name","Settlement Currency Code - Transaction","Net Proceeds PC","Net Proceeds QC","Net Proceeds SC","Settlement Date","Finance Account Name","Nominal","Current Value PC","Current Value QC"
"74526","20171011000796","PD1000340","WorldStrides FOTL","MPD1000340",20171103,20171002,20171002,"Server job user","Sell","Sell","Sell","USD",336491.33,269203.83,269203.83,20171002,"REALIZED SECURITY GL FGN DIR PRIV DEBT",269203.8300000,336491.33,269203.83
"74526","20171011000796","PD1000340","WorldStrides FOTL","MPD1000340",20171103,20171002,20171002,"Server job user","Sell","Sell","Sell","USD",336491.33,269203.83,269203.83,20171002,"COST OF INVESTMENT FGN DIR PRIV DEBT",269203.8300000,336491.33,269203.83
"74526","20171011000796","PD1000340","WorldStrides FOTL","MPD1000340",20171103,20171002,20171002,"Server job user","Sell","Sell","Sell","USD",336491.33,269203.83,269203.83,20171002,"REALIZED CURR GL FGN DIR PRIV DEBT",269203.8300000,336491.33,269203.83
"74523","20171011000645","FS1000397","Blackstone Capital Partners VII, L.P.","MFS1000397",20171019,20171020,20171020,"Server job user","GenCost","General Cost","General Cost","USD",2495592.00,1980000.00,1980000.00,20171020,"MANAGEMENT FEES FGN PRIV EQUITY",0.0000000,0.00,0.00
"74523","20171011000645","FS1000397","Blackstone Capital Partners VII, L.P.","MFS1000397",20171019,20171020,20171020,"Server job user","GenCost","General Cost","General Cost","USD",2495592.00,1980000.00,1980000.00,20171020,"DUE TO BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74522","20171011000638","FS1000174","The Fourth Cinven Fund (PIP)","M910RAC904",20171016,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","EUR",-241445.97,-163456.19,-163456.19,20171013,"DIVIDEND INC FGN PRIV EQUITY",0.0000000,0.00,0.00
"74522","20171011000638","FS1000174","The Fourth Cinven Fund (PIP)","M910RAC904",20171016,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","EUR",-241445.97,-163456.19,-163456.19,20171013,"REALIZED SECURITY GL FGN PRIV EQUITY",0.0000000,0.00,0.00
"74522","20171011000638","FS1000174","The Fourth Cinven Fund (PIP)","M910RAC904",20171016,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","EUR",-241445.97,-163456.19,-163456.19,20171013,"DUE FROM BROKER FGN PRIV EQUITY",0.0000000,0.00,0.00
"74522","20171011000638","FS1000174","The Fourth Cinven Fund (PIP)","M910RAC904",20171016,20171013,20171013,"Server job user","GenCost","General Cost","General Cost","EUR",-241445.97,-163456.19,-163456.19,20171013,"DIVIDEND RECEIVABLE PRIV EQUITY",0.0000000,0.00,0.00
"74521","20171011000637","PD1000367","Pretium Packaging L+5.75 11/14/2022","MPD1000367",20171011,20171002,20171002,"Server job user","GenCost","General Cost","General Cost","USD",-5294.40,-4235.69,-4235.69,20171002,"INTEREST INC FGN DIR PRIV DEBT",0.0000000,0.00,0.00
