Ticket,SCDID_CUSIP,Ticket Status ID,Ticket Status,Ticket Type,Ticket Type Name,Trade Date,Due_Settlement_Date,Model Portfolio,Investment,Investment Amount,Investment Currency,Send to SCD,Funding Amount,Funding Currency,Creator,CreateDate,SourceSystem,LastUpdatedDateTime
"75386","IN1000052","6","Manual","1","Capital Call",2017-11-10 00:00:00.000,2017-11-10 00:00:00.000,"MIN1000052","Corporate Expenses - Infrastructure (VCC)",2745.64000,"CAD","Yes",2810.70000,"AUD","Hassan, Sohaib",2017-11-02 11:02:21.963,Investran,2017-11-07 13:54:50.450
"75387","219999901","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M219999901","Corporate Expenses - Private Debt",6996.32000,"CAD","Yes",5427.29000,"USD","Gavadza, Olena",2017-11-02 11:07:43.797,NULL,2017-11-03 15:05:18.750
"75388","12899Q929","6","Manual","9","Adjustment",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"M12899Q929","GCM Grosvenor CPP Investment Board Mid-Market Opportunities Fund II, L.P",0.00000,"USD","Yes",0.00000,"USD","Wong, Andrew",2017-11-02 11:21:13.260,Investran,2017-11-02 16:30:14.877
"75389","IN1000031","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000031","Grupo Costanera (SPA)",15860.00000,"CLP","Yes",15860.00000,"CLP","Gavadza, Olena",2017-11-02 11:42:25.017,Investran,2017-11-03 15:04:07.110
"75390","IN1000031","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000031","Grupo Costanera (SPA)",41267.00000,"CLP","Yes",64.90000,"USD","Gavadza, Olena",2017-11-02 11:42:25.497,Investran,2017-11-03 15:01:34.000
"75391","IN1000058","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MIN1000034","Grupo Costanera (Limitada 2)",16291.00000,"CLP","Yes",16291.00000,"CLP","Gavadza, Olena",2017-11-02 11:42:26.133,Investran,2017-11-03 15:02:47.767
"75392","PR1000085","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000085","Dorna Sports Management (CPPIB HKCo)",59.41000,"EUR","Yes",59.41000,"EUR","Gavadza, Olena",2017-11-02 11:42:26.707,Investran,2017-11-03 15:01:58.227
"75394","910RUD900","1","Pending approval by {0}","2","Cash Distribution",2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,"M910RUD900","Advent International GPE V - C (PIP)",72201.00000,"EUR","Yes",72201.00000,"EUR","Shen, Carlin",2017-11-02 12:14:12.413,Investran,2017-11-03 17:14:19.017
"75395","99UNJJ909","1","Pending approval by {0}","2","Cash Distribution",2017-11-03 00:00:00.000,2017-11-03 00:00:00.000,"M99UNJJ909","Advent International GPE V-G, L.P.",3957193.00000,"EUR","Yes",3957193.00000,"EUR","Brown, Delaney",2017-11-02 12:20:19.967,Investran,2017-11-06 09:24:15.640
"75396","PR1000052","6","Manual","1","Capital Call",2017-10-31 00:00:00.000,2017-10-31 00:00:00.000,"MPR1000052","Corporate Expenses - Luxco PI'ng",168802.81000,"EUR","Yes",196646.83000,"USD","Gavadza, Olena",2017-11-02 12:20:43.037,Investran,2017-11-03 15:03:19.383
